Client_ID,UX_Score,Usability,Performance_Satisfaction,Support_Satisfaction,Feature_Richness,Recommendation_Intention,Time_on_Platform,Adoption_Depth
1,3.1009655531135136,4.349828426230306,3.9513414150715302,4.576965787248929,5.320588989738142,3.8112376371999916,1.9315533205428237,4.535450330871323
2,6.619292160110564,5.837292531007564,5.8083136067097305,5.929269020266145,6.695915098187875,7.3442854520929215,6.736317533230646,6.766571318668108
3,3.5664080651470447,4.974115322695088,4.530479289086501,5.888457387961065,7.601965372277347,7.697405871747395,5.71130913427033,6.826664701154516
4,0.06294434104509852,3.6036334889641775,2.4888402085130243,2.2505907110824337,3.0625032883355168,2.135545426839019,3.2260925162648886,3.7768759797123765
5,2.5543593849216455,4.223761796348763,4.281884297089695,5.4494989246218,3.299821921574837,3.7315381026519527,5.994878596099419,3.5897288182503004
6,7.586983220030415,8.783390103141018,8.262751555918504,8.182954650941728,9.134675060862573,7.88015822774687,5.287393429299469,6.401132952312456
7,1.1855968053165804,1.0541532026735232,1.86399968205968,3.249410429909112,2.288623450732579,0.6811851621196015,1.1546432318751652,1.8122615648486744
8,3.3405033103098885,5.276084912605459,6.519830979873053,3.258979128853274,6.100190573476927,1.7021636931686528,3.3440774406012483,3.8009569580715397
9,8.266671255753232,7.319277336025499,7.60473911904557,7.66938853937956,6.888402367733969,6.589138193792038,4.830682469755889,7.367216379711481
10,3.032353964023422,3.827887626071284,5.268329155115134,3.757847563816539,3.4285751516323475,3.9073143330448006,4.29903669058199,3.0403145306061345
11,3.525801597567903,5.316799749627067,4.420907051126171,4.3185876773151985,5.983593912991743,3.882769635711833,5.140874340172372,3.1958041747612014
12,4.268601513579518,5.688260546946288,6.8907343141463056,6.701969892511215,4.378507353375466,4.000066720640397,4.240612230018285,4.79410475079993
13,7.2820142270429455,6.379426362944704,5.960628837629351,8.2261211606734,6.4634752967803335,6.9623754751073,7.516217667964761,8.26102823087784
14,4.342183485404913,4.872163585228842,3.903898977352977,2.84387821356274,3.138405423948715,3.551159166589421,3.695227284334854,4.41376484034485
